,,,,
Group,Trype,Script,Required/Conditional,Comments
1,Welcome Message,"Hi [Name] Welcome to Philer! I'm Clara, your virtual assistant. I'm here to guide you through the intake process for your real estate closing. I’ll be asking you a few questions about your transaction — this should take about 10 to 15 minutes. Before we begin, please make sure you're in a quiet place so we can talk without interruptions. If you have any questions along the way, just ask! And don't worry if you are not able to answer some questions. We will send you a summary of the information you will provide to us to your email and you will be able to adjust anything using the philer platform. Ready to get started?",Required,
2A,Transition,Great! Lets start!,,
2A,Applicant Details,Please tell me your first name. Feel free to spell it if you prefer,Required,
2A,Applicant Details,Now your last name,Required,
2A,Applicant Details,What is your date of birth?,Required,
2A,Applicant Details,"And what is your employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Required,
2A,Applicant Details,What is your Organization Name?,Conditional If answer is NOT Unemployed,
2A,Applicant Details,"And your role, or designation?",Conditional If answer is NOT Unemployed,
2A,Applicant Details,Are you a first-time homebuyer? This means you never purchased any property anywhere in world. ,Required,
2A,Applicant Details,Are you a Canadian Citizen or Permanent Resident? Please specify,Required,
2A,Applicant Details,Do you acknowledge that you are fully able to understand and make decisions on your own?,Required,
2A,Transition,Thank you for providing your details! Now I'd like to know more about the property and other closing details!,,
2B,Closing / Property Details,"Are you Buying, Selling or Refinancing your property? ",,THIS QUESTION CAN BE SKIPPED FOR THE MVP PHASE
2B,Closing / Property Details,Is the property already built or it is a pre-construction purchase?,Conditional if answer is Buying,
2B,Closing / Property Details,"What is the type of the property you're closing on? Condo Apartment, Detached House, Semi-detached House, Freehold Townhouse, Condo Townhouse, Multiplex or other?",Required,
2B,Closing / Property Details,What is your Closing Date?,Required,
2B,Closing / Property Details,Do you know the property postal code? No problem if you don't have this information now,Required,
2B,Closing / Property Details,"Ok! Please tell me the property address, including the city",Required,"street number, street name, city"
2B,Closing / Property Details,Is this the address where you will be living after closing?,Conditional if answer is Buying,
2B,Closing / Property Details,"So, what is the address of the place you live or will be living after closing?","Conditional if answer to ""address where you will be living"" is no",
2B,Closing / Property Details,And what it is the postal code?,"Conditional if answer to ""address where you will be living"" is no",
2B,Closing / Property Details,"How do you intend to use the property you are acquiring? Primary Residence, Secondary Residence, Investment Property, Fix and Flip, Family Use or Other uses?",Conditional if answer is Buying,
2,Transition,"Lets Get Started! I see that you are purchasing a property on [Address + Postal Code], this property is a [Property Type], this property is [ready to live/ a precon] and you closing date is on [Closing Date] is this information right?",,
2,Applicant Remaining  Questions,"Ok, so what information would you like to correct?",Conditional if answer to above is NO,
2,Applicant Remaining  Questions,What is your date of birth?,Required,
2,Applicant Remaining  Questions,"And what is your employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Required,
2,Applicant Remaining  Questions,What is your Organization Name?,Conditional If answer is NOT Unemployed,
2,Applicant Remaining  Questions,"And your role, or designation?",Conditional If answer is NOT Unemployed,
2,Applicant Remaining  Questions,Are you a first-time homebuyer? This means you never purchased any property anywhere in world. ,Required,
2,Applicant Remaining  Questions,Are you a Canadian Citizen or Permanent Resident? Please specify,Required,
2,Applicant Remaining  Questions,Do you acknowledge that you are fully able to understand and make decisions on your own?,Required,
2,Transition,Thank you for providing your details! Now I'd like to know more about the property and other closing details!,,
2,Closing Remaining Questions,Is [Address + Postal Code] the address where you will be living after closing?,Conditional for Purchase Transactions,
2,Closing Remaining Questions,"So, what is the address of the place you live or will be living after closing?","Conditional if answer to ""address where you will be living"" is no",
2,Closing Remaining Questions,And what it is the city and postal code?,"Conditional if answer to ""address where you will be living"" is no",
2,Closing Remaining Questions,"How do you intend to use the property you are acquiring? Primary Residence, Secondary Residence, Investment Property, Fix and Flip, Family Use or Other uses?",Conditional for Purchase Transactions,
3,Marital Status,"What is your marital status? Married, Common Law Partner, Single, Divorced or Separed?",Required,
4,Transition,Ok! Please tell me your spouse details,Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),Please tell me your spouse's first name. Feel free to spell it if you prefer,Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),Now your spouse's last name,Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),What is their date of birth?,Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),"And what is your spouse's employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),What is your spouse's Organization Name?,Conditional if answer to Marital Status is Married or Common Law Partner + Conditional If answer is NOT Unemployed,
4,Additional Applicants (spouse),"And their role, or designation?",Conditional if answer to Marital Status is Married or Common Law Partner + Conditional If answer is NOT Unemployed,
4,Additional Applicants (spouse),Are they a first-time homebuyer? This means they never purchased any property anywhere in world. ,Conditional if answer to Marital Status is Married or Common Law Partner,
4,Additional Applicants (spouse),Are they a Canadian Citizen or Permanent Resident? Please specify,Conditional if answer to Marital Status is Married or Common Law Partner,
4A,Transition,Thank you for providing your spouse details! Are there any additional Applicants besides you and your spouse?,Conditional if answer to Marital Status is Married or Common Law Partner,
4A,"Additional Applicants (Single, Divorced, Separted)",Are there any other Applicants besides you?,"Conditional if answer to Marital Status is Single, Divorced or Separed",
4A,"Additional Applicants (Single, Divorced, Separted)",>>>> runs Additional Applicants LOOP,Conditional if answer to Are there any other applicants besides you is YES,
4B,Additional Applicants Loop,Ok! Please tell me their details,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,Please tell me the applicant first name. Feel free to spell it if you prefer,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,Now the applicant's last name,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,What is their date of birth?,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,"And what is their employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,What is their Organization Name?,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,"And their role, or designation?",Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,Are they a first-time homebuyer? This means they never purchased any property anywhere in world. ,Conditional if answer to Are there ay additional applicants is YES,
4B,Additional Applicants Loop,Are they a Canadian Citizen or Permanent Resident? Please specify,Conditional if answer to Are there ay additional applicants is YES,
4B,Transition,Thank you for providing the additional applicant details! Are there any other additional Applicants?,Conditional if answer to Are there ay additional applicants is YES,
4C,Power of Attorney Confirmation,Are you signing by way of Power of Attorney?,Required,
4D,Power of Attorney Questions,What is the Executor First Name?,Conditional if Are you signing by way of Power of Attorney is YES,
4D,Power of Attorney Questions,What is the Executor Last Name?,Conditional if Are you signing by way of Power of Attorney is YES,
5,Ownership,"How do you intend to hold the title? There are two options. Option one: Joint Tenancy - This is usually chosen by spouses as the interest in the property automatically passes to the surviving owner in case of the other owner's death - in this case all owners must have equal ownership shares . Option two is Tenants in common. In this case,  each owner's share goes to their estate/heirs upon death. Unlike in the first option, ownership can be unequal (e.g., one person owns 60%, the other 40%). What option you want to chose? Joint Tenancy or Tenants in Common?",Conditional if is there more than one applicant,
5,Ownership,What will be your percentage of ownership?,Conditional if the answer is Tenants in Common,
5,Ownership,What will be [Additional Applicant 1] share of ownership (Loop if there are more than 2 applicants),Conditional if the answer is Tenants in Common,
6,"Mortgage, Realtor and Insurance","Would you know who your Mortgage Advisor is? If yes, please share their full name, Brokerage and your lender",Required,
6,"Mortgage, Realtor and Insurance",Please share the details of your real estate agent. What is their full-name and Real Estate Brokerage Company?,Required,
6,"Mortgage, Realtor and Insurance"," If you are financing your home, it is likely that the lender will require you to have Home Insurance. Have you acquired Home Insurance yet?",Required,
6,"Mortgage, Realtor and Insurance",Please share more details of the home insurance company and their advisor.,Conditional if answer to home insurance is yes,
7,Farewell Message,"We've completed your Intake! We will send you an email with the summary of the information you provided to us shortly. Don't worry if there are typos or any missing information. You will be able to adjust anything on the Philer Platform - we will also provide you with instructions to access it. Finally, we will ask you to send two pieces of ID and any other required documents you haven't sent them to us already. Everything you need to know will be in the email we are sending shortly. Thank you for chosing Philer for your real estate closing! have a good day!",,